INFO:root:Epoch [129/220], Loss: 0.0096
INFO:root:Epoch [130/220], Loss: 0.0103
INFO:root:Epoch [131/220], Loss: 0.0078
INFO:root:Epoch [132/220], Loss: 0.0100
INFO:root:Epoch [133/220], Loss: 0.0071
INFO:root:Epoch [134/220], Loss: 0.0091
INFO:root:Epoch [135/220], Loss: 0.0095
INFO:root:Epoch [136/220], Loss: 0.0112
INFO:root:Epoch [137/220], Loss: 0.0068
INFO:root:Epoch [138/220], Loss: 0.0101
INFO:root:Epoch [139/220], Loss: 0.0086
INFO:root:Epoch [140/220], Loss: 0.0109
INFO:root:Epoch [141/220], Loss: 0.0092
INFO:root:Epoch [142/220], Loss: 0.0084
INFO:root:Epoch [143/220], Loss: 0.0096
INFO:root:Epoch [144/220], Loss: 0.0081
INFO:root:Epoch [145/220], Loss: 0.0096
INFO:root:Epoch [146/220], Loss: 0.0091
INFO:root:Epoch [147/220], Loss: 0.0102
INFO:root:Epoch [148/220], Loss: 0.0102
INFO:root:Epoch [149/220], Loss: 0.0075
INFO:root:Epoch [150/220], Loss: 0.0075
INFO:root:Epoch [151/220], Loss: 0.0090
INFO:root:Epoch [152/220], Loss: 0.0113
INFO:root:Epoch [153/220], Loss: 0.0081
INFO:root:Epoch [154/220], Loss: 0.0074
INFO:root:Epoch [155/220], Loss: 0.0076
INFO:root:Epoch [156/220], Loss: 0.0093
INFO:root:Epoch [157/220], Loss: 0.0076
INFO:root:Epoch [158/220], Loss: 0.0077
INFO:root:Epoch [159/220], Loss: 0.0079
INFO:root:Epoch [160/220], Loss: 0.0079
INFO:root:Epoch [161/220], Loss: 0.0086
INFO:root:Epoch [162/220], Loss: 0.0079
INFO:root:Epoch [163/220], Loss: 0.0084
INFO:root:Epoch [164/220], Loss: 0.0077
INFO:root:Epoch [165/220], Loss: 0.0101
INFO:root:Epoch [166/220], Loss: 0.0084
INFO:root:Epoch [167/220], Loss: 0.0072
INFO:root:Epoch [168/220], Loss: 0.0085
INFO:root:Epoch [169/220], Loss: 0.0080
INFO:root:Epoch [170/220], Loss: 0.0069
INFO:root:Epoch [171/220], Loss: 0.0096
INFO:root:Epoch [172/220], Loss: 0.0078
INFO:root:Epoch [173/220], Loss: 0.0069
INFO:root:Epoch [174/220], Loss: 0.0077
INFO:root:Epoch [175/220], Loss: 0.0063
INFO:root:Epoch [176/220], Loss: 0.0069
INFO:root:Epoch [177/220], Loss: 0.0065
INFO:root:Epoch [178/220], Loss: 0.0073
INFO:root:Epoch [179/220], Loss: 0.0064
INFO:root:Epoch [180/220], Loss: 0.0090
INFO:root:Epoch [181/220], Loss: 0.0084
INFO:root:Epoch [182/220], Loss: 0.0085
INFO:root:Epoch [183/220], Loss: 0.0086
INFO:root:Epoch [184/220], Loss: 0.0076
INFO:root:Epoch [185/220], Loss: 0.0072
INFO:root:Epoch [186/220], Loss: 0.0073
INFO:root:Epoch [187/220], Loss: 0.0058
INFO:root:Epoch [188/220], Loss: 0.0058
INFO:root:Epoch [189/220], Loss: 0.0066
INFO:root:Epoch [190/220], Loss: 0.0091
INFO:root:Epoch [191/220], Loss: 0.0066
INFO:root:Epoch [192/220], Loss: 0.0074
INFO:root:Epoch [193/220], Loss: 0.0064
INFO:root:Epoch [194/220], Loss: 0.0060
INFO:root:Epoch [195/220], Loss: 0.0069
INFO:root:Epoch [196/220], Loss: 0.0079
INFO:root:Epoch [197/220], Loss: 0.0054
INFO:root:Epoch [198/220], Loss: 0.0055
INFO:root:Epoch [199/220], Loss: 0.0053
INFO:root:Epoch [200/220], Loss: 0.0053
INFO:root:Epoch [201/220], Loss: 0.0070
INFO:root:Epoch [202/220], Loss: 0.0063
INFO:root:Epoch [203/220], Loss: 0.0053
INFO:root:Epoch [204/220], Loss: 0.0053
INFO:root:Epoch [205/220], Loss: 0.0059
INFO:root:Epoch [206/220], Loss: 0.0060
INFO:root:Epoch [207/220], Loss: 0.0084
INFO:root:Epoch [208/220], Loss: 0.0075
INFO:root:Epoch [209/220], Loss: 0.0054
INFO:root:Epoch [210/220], Loss: 0.0067
INFO:root:Epoch [211/220], Loss: 0.0058
INFO:root:Epoch [212/220], Loss: 0.0081
INFO:root:Epoch [213/220], Loss: 0.0050
INFO:root:Epoch [214/220], Loss: 0.0066
INFO:root:Epoch [215/220], Loss: 0.0066
INFO:root:Epoch [216/220], Loss: 0.0064
INFO:root:Epoch [217/220], Loss: 0.0064
INFO:root:Epoch [218/220], Loss: 0.0064
INFO:root:Epoch [219/220], Loss: 0.0056
INFO:root:Epoch [220/220], Loss: 0.0062
